,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
54,1000LUNCUSDT,MAVIAUSDT,0.0,-4.62,-3.37,1.26,50
1086,KASUSDT,MAVIAUSDT,0.01,-4.08,-3.37,0.9,50
385,ARKMUSDT,POLUSDT,0.0,-4.79,-3.37,1.06,50
563,BLURUSDT,FUSDT,0.01,-3.79,-3.37,3.58,48
814,DYMUSDT,LUNA2USDT,0.0,-4.93,-3.37,0.57,47
122,ACTUSDT,ARKMUSDT,0.01,-4.1,-3.37,0.13,47
870,ETCUSDT,GMTUSDT,0.0,-4.61,-3.37,751.77,47
388,ARUSDT,CYBERUSDT,0.01,-4.03,-3.37,3.05,47
959,FUSDT,GRTUSDT,0.0,-4.3,-3.37,0.21,45
98,1INCHUSDT,ONDOUSDT,0.0,-4.71,-3.37,0.37,45
1038,INJUSDT,SANDUSDT,0.0,-4.5,-3.37,35.96,44
416,ASTERUSDT,MAVIAUSDT,0.0,-4.33,-3.37,20.85,44
813,DYMUSDT,LTCUSDT,0.0,-7.02,-3.37,0.0,43
771,DRIFTUSDT,LDOUSDT,0.0,-5.37,-3.37,0.28,43
362,ARBUSDT,DRIFTUSDT,0.0,-4.29,-3.37,1.2,43
168,ACUUSDT,HYPERUSDT,0.01,-3.84,-3.37,1.14,43
669,CLOUSDT,DYMUSDT,0.03,-3.52,-3.37,1.93,43
325,APEXUSDT,DRIFTUSDT,0.0,-4.43,-3.37,3.44,43
660,CLOUSDT,BIOUSDT,0.04,-3.46,-3.37,3.35,42
419,ASTRUSDT,MUSDT,0.02,-3.66,-3.37,0.01,41
379,ARKMUSDT,DRIFTUSDT,0.0,-4.82,-3.37,1.26,41
776,DRIFTUSDT,ORDIUSDT,0.0,-4.2,-3.37,0.03,41
573,BNBUSDT,MAVIAUSDT,0.03,-3.54,-3.37,18897.21,41
1081,KASUSDT,IOTAUSDT,0.03,-3.58,-3.37,0.46,41
828,EGLDUSDT,BIOUSDT,0.0,-4.65,-3.37,199.39,41
1288,NOTUSDT,ETHFIUSDT,0.03,-3.5,-3.37,0.0,41
1510,SKRUSDT,DEEPUSDT,0.01,-3.84,-3.37,0.83,41
824,EGLDUSDT,ALTUSDT,0.0,-4.34,-3.37,575.66,41
1145,LUNA2USDT,MAVIAUSDT,0.0,-5.32,-3.37,1.88,40
1069,JASMYUSDT,NOTUSDT,0.0,-5.06,-3.37,15.17,40
1149,MANAUSDT,MOVEUSDT,0.0,-4.11,-3.37,4.37,40
763,DOTUSDT,LINEAUSDT,0.04,-3.4,-3.37,470.31,40
572,BNBUSDT,KASUSDT,0.01,-3.93,-3.37,21014.05,40
978,GOATUSDT,INUSDT,0.0,-4.47,-3.37,0.27,39
1036,INJUSDT,JTOUSDT,0.03,-3.55,-3.37,11.16,39
1298,ORDIUSDT,POLUSDT,0.01,-3.91,-3.37,24.66,39
140,ACUUSDT,AUCTIONUSDT,0.01,-3.89,-3.37,0.02,39
756,DOODUSDT,SOLAYERUSDT,0.0,-4.85,-3.37,0.04,39
523,BEAMUSDT,PAXGUSDT,0.02,-3.6,-3.37,0.0,39
810,DYMUSDT,KASUSDT,0.0,-5.39,-3.37,1.2,39
157,ACUUSDT,DUSKUSDT,0.01,-3.99,-3.37,1.16,39
