sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings,half_life,hurst,win_rate,total_trades,avg_net_profit,profit_factor,net_funding_rate,pct_per_zscore,composite_score
ENSOUSDT,RENDERUSDT,0.0002,-4.98,-3.37,0.46023,38,3.79,0.7708,0.9375,16,1.1243,159.2385,0.000143,1.2692,3.65
IPUSDT,SNXUSDT,0.0001,-5.09,-3.37,1.71849,35,5.07,0.7473,0.8667,15,1.2607,49.6244,8.8e-05,0.6367,4.199999999999999
AKTUSDT,CRVUSDT,0.0035,-4.22,-3.37,2.10258,33,3.9,0.821,0.9444,18,1.5893,22.9319,0.00015,1.2357,4.2
JSTUSDT,SAFEUSDT,0.0401,-3.42,-3.37,0.52497,37,5.55,0.7834,0.8,15,2.0673,4.8739,5.7e-05,4.8908,4.8500000000000005
AKTUSDT,FILUSDT,0.0004,-4.76,-3.37,0.51258,49,3.38,0.8469,0.9444,18,1.2812,10.8875,8.4e-05,1.4715,4.8999999999999995
AKTUSDT,AXSUSDT,0.003,-4.26,-3.37,0.41116,43,4.7,0.8488,0.8889,18,1.3763,53.0048,0.00015,1.5905,5.55
CCUSDT,ENAUSDT,0.0327,-3.5,-3.37,1.58399,35,6.52,0.8058,0.8125,16,2.0285,5.953,6.6e-05,1.9324,5.9
SANDUSDT,SNXUSDT,0.0009,-4.58,-3.37,0.26589,37,3.99,0.8362,0.9333,15,0.6729,16.466,0.000138,0.7025,6.300000000000001
AXSUSDT,FILUSDT,0.015,-3.77,-3.37,1.24653,41,5.11,0.8107,0.8667,15,0.6431,6.6111,0.000134,0.5587,7.6000000000000005
ADAUSDT,SKYUSDT,0.0419,-3.4,-3.37,3.26179,34,6.21,0.8438,0.75,12,0.6329,7.0371,0.000247,0.9834,9.35
JUPUSDT,MIRAUSDT,0.0415,-3.41,-3.37,2.02801,34,6.68,0.7981,0.7273,11,0.2989,1.8518,0.0001,1.3544,9.5
